Invoice number,Callsign,Departure,IATA,Arrival,IATA.1,FLIGHTDATE,AC Type,Registration,Total Bill,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,FLIGHT_TYPE,Reg_Clean,MTOW_in_KGs,MTOW_Tonnes,CALCULATED_CHARGE,TOTAL_BILL_NUM,STATUS
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,09-Sep-25,A20N,VTTNR,180.0,,,,,,,,,,,,With landing,VTTNR,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,04-Sep-25,A20N,VTTQI,180.0,,,,,,,,,,,,With landing,VTTQI,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,14-Sep-25,A20N,VTTNW,350.0,,,,,,,,,,,,Without landing rate,VTTNW,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC2289,VABB,BOM,OTHH,DOH,27-Sep-25,A20N,VTTQJ,180.0,,,,,,,,,,,,With landing,VTTQJ,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2290,OTHH,DOH,VABB,BOM,02-Sep-25,A20N,VTTNX,180.0,,,,,,,,,,,,With landing,VTTNX,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC969,VABB,BOM,OTHH,DOH,20-Sep-25,A20N,VTTNM,180.0,,,,,,,,,,,,With landing,VTTNM,77000.0,77.0,180.0,180.0,Matched
Over Fly- 8771,AIC2287,VABB,BOM,OEDF,DMM,25-Sep-25,A20N,VTTQD,350.0,,,,,,,,,,,,Without landing rate,VTTQD,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,05-Sep-25,A20N,VTTQH,350.0,,,,,,,,,,,,Without landing rate,VTTQH,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,08-Sep-25,A20N,VTTQL,350.0,,,,,,,,,,,,Without landing rate,VTTQL,77000.0,77.0,350.0,350.0,Matched
Over Fly- 8771,AIC935,VABB,BOM,OEDF,DMM,28-Sep-25,A20N,VTTNU,350.0,,,,,,,,,,,,Without landing rate,VTTNU,77000.0,77.0,350.0,350.0,Matched
