Invoice No,"Line number
reference","Item
Description","Billing
Reference",Date,Time,"Aircraft
ID","Flight
Number","Origin
Code",Dest. Code,Entry Point,Exit Point,"Distance
Km","Aircraft
Type","Weight
Factor","Distance
Factor","Flight
Type","En-Route
Charge",Approach Charge,"Flight Total
Charge","Item Subtotal
Including VAT"
502012523021670,32,"Landings -
12893685",12893685,04-Jun-25,0.187616,VTEXI,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,33,"Landings -
12894912",12894912,04-Jun-25,0.659722,VTEXL,AIC991,VIDP,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,34,"Landings -
12895218",12895218,04-Jun-25,0.722812,VTEXL,AIC992,OEJN,VIDP,OEJN,MJDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,35,"Landings -
12895103",12895103,04-Jun-25,0.73125,VTCII-I,AIC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,36,"Landings -
12895256",12895256,04-Jun-25,0.7875,VTEXK,AJC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,37,"Landings -
12895493",12895493,04-Jun-25,0.822859,VTCIH,AIC932,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,38,"Landings -
12895483",12895483,04-Jun-25,0.865556,VTEXK,AJC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,39,"Landings -
12896023",12896023,05-Jun-25,0.053472,VTCIO,AIC555,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,40,"Landings -
12896279",12896279,05-Jun-25,0.175694,VTCIM,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,41,"Landings -
12896614",12896614,05-Jun-25,0.262685,VTCIM,AIC922,OERK.,VABB,OERK.,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,42,"Landings -
12896584",12896584,05-Jun-25,0.277569,VTCIO,AIC926D,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,43,"Landings -
12897199",12897199,05-Jun-25,0.552083,VTEXL,AIC925,VIDP,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
502012523021670,44,"Landings -
12897489",12897489,05-Jun-25,0.610521,VTEXL,AIC926,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,45,"Landings -
12897683",12897683,05-Jun-25,0.681944,VTCII-I,AIC937,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,46,"Landings -
12897856",12897856,05-Jun-25,0.733333,VTEXJ,AJC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,47,"Landings -
12897922",12897922,05-Jun-25,0.756944,VTCIO,AIC991,VIDP,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,48,"Landings -
12897976",12897976,05-Jun-25,0.777778,VTEXF,AIC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,49,"Landings -
12898195",12898195,05-Jun-25,0.800266,VTCII-I,AIC938,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,50,"Landings -
12898216",12898216,05-Jun-25,0.809444,VTCIO,AIC992,OEJN,VIDP,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,51,"Landings -
12898268",12898268,05-Jun-25,0.834051,VTEXJ,AIC932,OEJN,VABB,OEJN,MJDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,52,Landings - 12898286,12898286,05-Jun-25,0.886655,VTEXF,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,53,"Landings -
12898709",12898709,06-Jun-25,0.02662,VTEXU,AIC926D,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,54,"Landings -
12898786",12898786,06-Jun-25,0.101389,VTRTT,AIC921,VABB,OERK,PEKEM,OERK,760,A20N,1.26,7.6,s,1129.97,252,1381.97,1381.97
