Invoice No,Flight Number,Aircraft ID,Origin Code,Dest. Code,Distance Km,MTOW_Tonnes,Calc_Weight_Factor,Calculated_Charge,Vendor_Charge,Status
502012523021670,AIC922,VTCIM,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AIC925,VTEXL,VIDP,OERK,373.0,79.0,1.26,554.58,806.58,Not Matched
502012523021670,AJC926,VTEXL,OERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AIC937,VTCIP,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC935,VTRTS,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC938,VTCIP,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC936,VTRTS,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXS,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AIC922,VTEXS,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AJC925,VTCIG,VIDP,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AIC926,VTCIG,OERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AJC991,VTEXL,VIDP,OEJN,1675.0,79.0,1.26,2490.39,2742.39,Not Matched
502012523021670,AIC992,VTEXL,OEJN,VIDP,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC935,VTCIP,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC936,VTCIP,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXP,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AIC922,VTEXP,OERK,VABB,926.0,79.0,1.26,1376.78,,Not Matched
502012523021670,AIC991,VTCIH,VIDP,OEJN,1241.0,79.0,1.26,1845.12,,Not Matched
502012523021670,AIC992,VTCIH,OEJN,VIDP,1247.0,79.0,1.26,1854.04,,Not Matched
502012523021670,AJC935,VTEXP,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AIC936,VTEXP,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXS,VABB,OERK,760.0,79.0,1.26,1129.97,1381.97,Not Matched
502012523021670,AIC922,VTEXS,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AIC925,VTCIM,VIDP,OERK,389.0,79.0,1.26,578.37,830.37,Not Matched
502012523021670,AIC926,VTCIM,OERK,VIDP,400.0,79.0,1.26,594.72,594.72,Matched
502012523021670,AIC937,VTCIN,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AJC931,VTEXL,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC935,VTEXS,VABB,OEDF,36.0,79.0,1.26,53.52,305.52,Not Matched
502012523021670,AJC991,VTCID,VIDP,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
502012523021670,AIC938,VTCIN,OEJN,VABB,1675.0,79.0,1.26,2490.39,2490.39,Matched
502012523021670,AIC932,VTEXL,OEJN,VABB,,79.0,1.26,,2490.39,Not Matched
502012523021670,AIC992,VTCID,OEJN,VIDP,1247.0,79.0,1.26,1854.04,1854.04,Matched
502012523021670,AIC936,VTEXS,OEDF,VABB,58.0,79.0,1.26,86.23,86.23,Matched
502012523021670,AIC921,VTEXT,VABB,OERK,760.0,79.0,1.26,1129.97,,Not Matched
502012523021670,AIC922,VTEXT,OERK,VABB,926.0,79.0,1.26,1376.78,1376.78,Matched
502012523021670,AIC991,VTCIO,VIDP,OEJN,1514.0,79.0,1.26,2251.02,,Not Matched
502012523021670,AJC931,VTCIH,VABB,OEJN,1514.0,79.0,1.26,2251.02,2503.02,Not Matched
