Aircraft_Reg,MTOW,Calculated_Charge,Vendor_Charge,Difference,Status
VTCID,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTCIH,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTALJ,351534,609,609,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVJ,77000,119,119,0,Matched
VTTVJ,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRIO,73500,53,119,66,Not Matched
VTRIO,73500,53,119,66,Not Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTTSO,77000,119,457,338,Not Matched
VTTSE,77000,119,457,338,Not Matched
VTTVE,77000,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTANJ,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANQ,227930,457,22628,22171,Not Matched
VTANV,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTEXL,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTCIE,79000,119,119,0,Matched
VTCID,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIH,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEF,347451,609,609,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTTSH,77000,119,457,338,Not Matched
VTTSO,77000,119,457,338,Not Matched
VTTVB,93500,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTANJ,227930,457,29444,28987,Not Matched
VTANS,227930,457,457,0,Matched
VTANC,227930,457,457,0,Matched
VTANC,227930,457,457,0,Matched
VTANE,227930,457,457,0,Matched
VTANA,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANV,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTEXM,79000,119,119,0,Matched
VTEXM,79000,119,119,0,Matched
VTCIE,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTAEG,347451,609,609,0,Matched
VTALH,347451,609,609,0,Matched
VTTVD,77000,119,119,0,Matched
VTTVD,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,37612,37493,Not Matched
VTTSN,77000,119,457,338,Not Matched
VTTSH,77000,119,457,338,Not Matched
VTTVB,93500,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTANE,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANA,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANA,227930,457,457,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTAEF,347451,609,609,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTL,73500,53,119,66,Not Matched
VTRTT,79000,119,119,0,Matched
VTRTL,73500,53,119,66,Not Matched
VTRTU,79000,119,119,0,Matched
VTEXQ,79000,119,44614,44495,Not Matched
VTEXQ,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTANO,227930,457,457,0,Matched
VTTSN,77000,119,457,338,Not Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTANE,227930,457,457,0,Matched
VTANA,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANP,227930,457,457,0,Matched
VTANI,227930,457,457,0,Matched
VTANA,227930,457,457,0,Matched
VTCIO,79000,119,119,0,Matched
VTCIO,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEH,347451,609,609,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTT,79000,119,52444,52325,Not Matched
VTEXG,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTTSN,77000,119,457,338,Not Matched
VTANO,227930,457,457,0,Matched
VTTVF,77000,119,119,0,Matched
VTTVF,77000,119,119,0,Matched
VTANP,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANC,227930,457,457,0,Matched
VTANP,227930,457,457,0,Matched
VTANJ,227930,457,457,0,Matched
VTCIQ,79000,119,119,0,Matched
VTCIQ,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIQ,79000,119,119,0,Matched
VTCIQ,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTTQI,77000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTRTS,79000,119,59108,58989,Not Matched
VTEXP,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTANA,227930,457,457,0,Matched
VTTSN,77000,119,457,338,Not Matched
VTTVF,77000,119,119,0,Matched
VTTVF,77000,119,119,0,Matched
VTANP,227930,457,457,0,Matched
VTANJ,227930,457,457,0,Matched
VTANB,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANT,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANC,227930,457,457,0,Matched
VTANJ,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTCID,79000,119,119,0,Matched
VTCID,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTAEH,347451,609,609,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTQI,77000,119,67462,67343,Not Matched
VTTQI,77000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTTSE,77000,119,457,338,Not Matched
VTANA,227930,457,457,0,Matched
VTTVF,77000,119,119,0,Matched
VTTVF,77000,119,119,0,Matched
VTANP,227930,457,457,0,Matched
VTNAA,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANT,227930,457,457,0,Matched
VTANE,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTCID,79000,119,119,0,Matched
VTCID,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVF,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,75140,75021,Not Matched
VTRTJ,73500,53,119,66,Not Matched
VTRTJ,73500,53,119,66,Not Matched
VTEXP,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTTSO,77000,119,457,338,Not Matched
VTTSE,77000,119,457,338,Not Matched
VTTNX,77000,119,119,0,Matched
VTTNX,77000,119,119,0,Matched
VTANR,227930,457,457,0,Matched
VTANE,227930,457,457,0,Matched
VTANP,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANB,227930,457,457,0,Matched
VTANE,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTCIO,79000,119,119,0,Matched
VTCIO,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEH,347451,609,609,0,Matched
VTTVF,77000,119,83308,83189,Not Matched
VTTVF,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTTVA,77000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTTVA,77000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTX,73500,53,119,66,Not Matched
VTRTX,73500,53,119,66,Not Matched
VTPPV,89000,119,119,0,Matched
VTPPV,89000,119,119,0,Matched
VTTSD,247207,457,457,0,Matched
VTTSO,77000,119,457,338,Not Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTANU,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANB,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTEXT,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVA,77000,119,90462,90343,Not Matched
VTTVA,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTRTM,73500,53,119,66,Not Matched
VTEXP,79000,119,119,0,Matched
VTRTM,73500,53,119,66,Not Matched
VTEXP,79000,119,119,0,Matched
VTCIO,79000,119,119,0,Matched
VTCIO,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTTSD,247207,457,457,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVC,77000,119,119,0,Matched
VTANP,227930,457,457,0,Matched
VTANP,227930,457,457,0,Matched
VTANO,227930,457,457,0,Matched
VTANO,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTEXV,79000,119,119,0,Matched
VTEXV,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,97650,97531,Not Matched
VTCIM,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEH,347451,609,609,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTTSO,77000,119,457,338,Not Matched
VTTSO,77000,119,457,338,Not Matched
VTTVE,77000,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTANU,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANI,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTEXV,79000,119,119,0,Matched
VTEXV,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTCIP,79000,119,104804,104685,Not Matched
VTCIG,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTN,73500,53,119,66,Not Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTTSH,77000,119,457,338,Not Matched
VTTSO,77000,119,457,338,Not Matched
VTTVC,77000,119,119,0,Matched
VTTVC,77000,119,119,0,Matched
VTANU,227930,457,457,0,Matched
VTANB,227930,457,457,0,Matched
VTANI,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTEXV,79000,119,119,0,Matched
VTCIE,79000,119,119,0,Matched
VTCIP,79000,119,111620,111501,Not Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEH,347451,609,609,0,Matched
VTALH,347451,609,609,0,Matched
VTTVD,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTN,73500,53,119,66,Not Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTTSH,77000,119,457,338,Not Matched
VTTSH,77000,119,457,338,Not Matched
VTTVC,77000,119,119,0,Matched
VTTVC,77000,119,119,0,Matched
VTANZ,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANB,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTCIM,79000,119,119,0,Matched
VTCID,79000,119,119,0,Matched
VTCID,79000,119,119602,119483,Not Matched
VTCIG,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTCIP,79000,119,119,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTEXN,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTTSD,247207,457,457,0,Matched
VTTSH,77000,119,457,338,Not Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTANB,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTCIE,79000,119,119,0,Matched
VTCIE,79000,119,119,0,Matched
VTANH,227930,457,457,0,Matched
VTCIG,79000,119,127246,127127,Not Matched
VTCIG,79000,119,119,0,Matched
VTCID,79000,119,119,0,Matched
VTCID,79000,119,119,0,Matched
VTCIF,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEH,347451,609,609,0,Matched
VTTVA,77000,119,119,0,Matched
VTTVF,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTW,73500,53,119,66,Not Matched
VTRTW,73500,53,119,66,Not Matched
VTRTS,79000,119,119,0,Matched
VTEXQ,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTTSN,77000,119,457,338,Not Matched
VTTSD,247207,457,457,0,Matched
VTTVG,77000,119,119,0,Matched
VTANZ,227930,457,457,0,Matched
VTANV,227930,457,457,0,Matched
VTANH,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANM,227930,457,134552,134095,Not Matched
VTEXL,79000,119,119,0,Matched
VTEXL,79000,119,119,0,Matched
VTNAC,227930,457,457,0,Matched
VTCIF,79000,119,119,0,Matched
VTCIF,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTCIF,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTTSE,77000,119,457,338,Not Matched
VTTSN,77000,119,457,338,Not Matched
VTTVF,77000,119,119,0,Matched
VTANU,227930,457,457,0,Matched
VTNAA,227930,457,457,0,Matched
VTANV,227930,457,140878,140421,Not Matched
VTANP,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANV,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTEXO,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTNAC,227930,457,457,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXT,79000,119,119,0,Matched
VTEXI,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTEXH,79000,119,119,0,Matched
VTAEI,347451,609,609,0,Matched
VTAEH,347451,609,609,0,Matched
VTTVB,93500,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTT,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
"Registration
(4)",,,11,,Not Matched
VTEXG,79000,119,148032,147913,Not Matched
VTTSD,247207,457,457,0,Matched
VTTSE,77000,119,457,338,Not Matched
VTTVG,77000,119,119,0,Matched
VTNAA,227930,457,457,0,Matched
VTANY,227930,457,457,0,Matched
VTANA,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANE,227930,457,457,0,Matched
VTANQ,227930,457,457,0,Matched
VTEXO,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTANO,227930,457,457,0,Matched
VTCIF,79000,119,119,0,Matched
VTCIF,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTCIG,79000,119,119,0,Matched
VTEXI,79000,119,119,0,Matched
VTEXI,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTAEE,347451,609,609,0,Matched
VTAEG,347451,609,609,0,Matched
VTTVD-,,,119,,Not Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTS,79000,119,119,0,Matched
VTRTY,73500,53,119,66,Not Matched
VTRTS,79000,119,156200,156081,Not Matched
VTRTY,73500,53,119,66,Not Matched
VTRTM,73500,53,119,66,Not Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTTSH,77000,119,457,338,Not Matched
VTTSD,247207,457,457,0,Matched
VTTVC,77000,119,119,0,Matched
VTTVC,77000,119,119,0,Matched
VTANY,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANO,227930,457,457,0,Matched
VTANR,227930,457,457,0,Matched
VTANC,227930,457,457,0,Matched
VTANE,227930,457,457,0,Matched
VTEXO,79000,119,119,0,Matched
VTEXO,79000,119,119,0,Matched
VTANO,227930,457,457,0,Matched
VTEXI,79000,119,119,0,Matched
VTEXI,79000,119,119,0,Matched
VTEXU,79000,119,119,0,Matched
VTEXK,79000,119,119,0,Matched
VTEXI,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTCIM,79000,119,119,0,Matched
VTAEF,347451,609,609,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVE,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTTVH,77000,119,119,0,Matched
VTRTT,79000,119,163540,163421,Not Matched
VTRTT,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTRTM,73500,53,119,66,Not Matched
VTEXG,79000,119,119,0,Matched
VTEXG,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTEXP,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTRTU,79000,119,119,0,Matched
VTTSO,77000,119,457,338,Not Matched
VTTSH,77000,119,457,338,Not Matched
VTTVG,77000,119,119,0,Matched
VTTVG,77000,119,119,0,Matched
VTANZ,227930,457,457,0,Matched
VTANM,227930,457,457,0,Matched
VTANU,227930,457,457,0,Matched
VTANB,227930,457,457,0,Matched
VTANC,227930,457,457,0,Matched
VTCIH,79000,119,119,0,Matched
VTCIH,79000,119,119,0,Matched
VTANA,227930,457,457,0,Matched
VTCIF,79000,119,119,0,Matched
