"No.
(1)","Date
(2)","Type
(3)","Registration
(4)","CallSign
(5)","From
(6)","To
(7)",Entry pt. (8),Over Head pt. (9),Exit pt. (10),"Air Nav. Fac Charges
(11)"
501,15-04-2025,B789,VTTSH,AIC2380,VIDP,WSSS,2029,2035,2127,457
502,15-04-2025,B789,VTTSH,AIC2381,WSSS,VIDP,0313,0407,0413,457
503,15-04-2025,A21N,VTTVC,AIC2382,VIDP,WSSS,1058,1120,:,119
504,15-04-2025,A21N,VTTVC,AIC2383,WSSS,VIDP,1655,1751,1758,119
505,15-04-2025,B788,VTANZ,AIC301,YSSY,VIDP,1937,1955,2033,457
506,15-04-2025,B788,VTANU,AIC313,RKSI,VIDP,0859,0908,0942,457
507,15-04-2025,B788,VTANR,AIC314,VIDP,VHHH,1916,2007,2022,457
508,15-04-2025,B788,VTANB,AIC315,VHHH,VIDP,0501,0510,0540,457
509,15-04-2025,B788,VTANR,AIC357,RJTT,VIDP,0914,0923,0953,457
510,15-04-2025,B788,VTANH,AIC358,VIDP,RJTT,1647,1717,1726,457
511,15-04-2025,A20N,VTCIM,AIC376,VIDP,VTSP,1043,1110,:,119
512,15-04-2025,A20N,VTCID,AIC378,VIDP,VTSP,0112,0112,0134,119
513,15-04-2025,A20N,VTCID,AIC379,VTSP,VIDP,0406,0442,"B/F
0543","119,602
119"
514,15-04-2025,A20N,VTCIG,AIC384,VIDP,WMKK,1059,1119,:,119
515,15-04-2025,A20N,VTCIP,AIC388,VIDP,VVTS,0958,1024,1053,119
516,15-04-2025,A20N,VTCIP,AIC389,VVTS,VIDP,1528,1557,1624,119
517,16-04-2025,B77L,VTAEE,AIC173,VIDP,KSFO,0017,0047,0056,609
518,16-04-2025,B77L,VTAEI,AIC173,VIDP,KSFO,2359,0029,0038,609
519,16-04-2025,B77L,VTAEG,AIC175,VOBL,KSFO,1042,1117,1126,609
520,16-04-2025,A21N,VTTVC,AIC2115,VIDP,WSSS,0901,0923,:,119
521,16-04-2025,A21N,VTTVC,AIC2116,WSSS,VIDP,1442,1504,1504,119
522,16-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1917,1924,2020,119
523,16-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0552,0614,0640,119
524,16-04-2025,A20N,VTRTS,AIC2303,VTBS,VIDP,1600,1630,1657,119
525,16-04-2025,A20N,VTRTS,AIC2304,VIDP,VTBS,1128,1155,1224,119
526,16-04-2025,A20N,VTEXN,AIC2332,VIDP,VTBS,0843,0910,0939,119
527,16-04-2025,A20N,VTRTS,AIC2333,VTBS,VIDP,0312,0333,0413,119
528,16-04-2025,A20N,VTEXN,AIC2335,VTBS,VIDP,1216,1246,1313,119
529,16-04-2025,A20N,VTEXQ,AIC2336,VIDP,VTBS,2345,0012,0042,119
530,16-04-2025,A20N,VTEXP,AIC2353,VTBS,VABB,0829,0858,0023,119
531,16-04-2025,A20N,VTEXP,AIC2354,VABB,VTBS,0518,0539,0607,119
532,16-04-2025,A20N,VTEXG,AIC2355,VIDP,VTBS,0517,0556,0619,119
533,16-04-2025,A20N,VTEXG,AIC2356,VTBS,VIDP,0900,0929,0956,119
534,16-04-2025,B789,VTTSD,AIC2380,VIDP,WSSS,2031,2104,2130,457
535,16-04-2025,B789,VTTSH,AIC2381,WSSS,VIDP,0302,0323,0348,457
536,16-04-2025,A21N,VTTVG,AIC2382,VIDP,WSSS,1047,1047,1109,119
537,16-04-2025,A21N,VTTVG,AIC2383,WSSS,VIDP,1721,1743,1743,119
538,16-04-2025,B788,VTANB,AIC309,YMML,VIDP,1947,2014,2039,457
539,16-04-2025,B788,VTANH,AIC312,VIDP,RKSI,2101,2131,2140,457
540,16-04-2025,B788,VTANM,AIC314,VIDP,VHHH,1928,2018,2032,457
541,16-04-2025,B788,VTANR,AIC315,VHHH,VIDP,0509,0518,0547,457
542,16-04-2025,A20N,VTCIE,AIC337,VABB,VTBS,1112,1138,1211,119
543,16-04-2025,A20N,VTCIE,AIC338,VTBS,VABB,1431,1437,1526,119
544,16-04-2025,B788,VTANH,AIC357,RJTT,VIDP,0915,0924,0954,457
545,16-04-2025,A20N,VTCIG,AIC376,VIDP,VTSP,1037,1037,"B/F
1104","127,246
119"
546,16-04-2025,A20N,VTCIG,AIC377,VTSP,VIDP,1357,1419,1419,119
547,16-04-2025,A20N,VTCID,AIC378,VIDP,VTSP,0034,0056,:,119
548,16-04-2025,A20N,VTCID,AIC379,VTSP,VIDP,0413,0435,0501,119
549,16-04-2025,A20N,VTCIF,AIC384,VIDP,WMKK,0915,0957,1048,119
550,16-04-2025,A20N,VTCIG,AIC385,WMKK,VIDP,0145,0207,0233,119
551,16-04-2025,A20N,VTEXU,AIC388,VIDP,VVTS,1005,1031,1100,119
552,16-04-2025,A20N,VTEXU,AIC389,VVTS,VIDP,1526,1556,1623,119
553,17-04-2025,B77L,VTAEE,AIC173,VIDP,KSFO,0002,0032,0041,609
554,17-04-2025,B77L,VTAEE,AIC173,VIDP,KSFO,2351,0021,0030,609
555,17-04-2025,B77L,VTAEH,AIC175,VOBL,KSFO,1058,1132,1141,609
556,17-04-2025,A21N,VTTVA,AIC2105,VABB,WSSS,2221,2226,2322,119
557,17-04-2025,A21N,VTTVF,AIC2115,VIDP,WSSS,0852,0914,:,119
558,17-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1909,1916,2012,119
559,17-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0616,0636,:,119
560,17-04-2025,A20N,VTRTW,AIC2303,VTBS,VIDP,1602,1630,1655,119
561,17-04-2025,A20N,VTRTW,AIC2304,VIDP,VTBS,1145,1212,1242,119
562,17-04-2025,A20N,VTRTS,AIC2332,VIDP,VTBS,0826,0908,0928,119
563,17-04-2025,A20N,VTEXQ,AIC2333,VTBS,VIDP,0317,0346,0412,119
564,17-04-2025,A20N,VTRTS,AIC2335,VTBS,VIDP,1209,1238,1304,119
565,17-04-2025,A20N,VTRTS,AIC2336,VIDP,VTBS,2304,2331,0000,119
566,17-04-2025,A20N,VTRTU,AIC2353,VTBS,VABB,0830,0836,0925,119
567,17-04-2025,A20N,VTRTU,AIC2354,VABB,VTBS,0523,0545,0614,119
568,17-04-2025,A20N,VTEXG,AIC2355,VIDP,VTBS,0524,0605,0624,119
569,17-04-2025,A20N,VTEXG,AIC2356,VTBS,VIDP,0858,0927,0953,119
570,17-04-2025,B789,VTTSN,AIC2380,VIDP,WSSS,2041,2047,2140,457
571,17-04-2025,B789,VTTSD,AIC2381,WSSS,VIDP,0300,0352,0358,457
572,17-04-2025,A21N,VTTVG,AIC2382,VIDP,WSSS,1047,:,1107,119
573,17-04-2025,B788,VTANZ,AIC301,YSSY,VIDP,1937,1943,2043,457
574,17-04-2025,B788,VTANV,AIC312,VIDP,RKSI,2059,2129,2138,457
575,17-04-2025,B788,VTANH,AIC313,RKSI,VIDP,0821,0830,0900,457
576,17-04-2025,B788,VTANQ,AIC314,VIDP,VHHH,1902,1939,1950,457
577,17-04-2025,B788,VTANM,AIC315,VHHH,VIDP,0505,0514,"B/F
0544","134,552
457"
578,17-04-2025,A20N,VTEXL,AIC337,VABB,VTBS,1144,1210,1243,119
579,17-04-2025,A20N,VTEXL,AIC338,VTBS,VABB,1506,1512,1601,119
580,17-04-2025,B788,VTNAC,AIC358,VIDP,RJTT,1755,1825,1834,457
581,17-04-2025,A20N,VTCIF,AIC376,VIDP,VTSP,1051,:,1111,119
582,17-04-2025,A20N,VTCIF,AIC377,VTSP,VIDP,1348,1410,1436,119
583,17-04-2025,A20N,VTCIG,AIC378,VIDP,VTSP,0011,0033,:,119
584,17-04-2025,A20N,VTEXT,AIC378,VIDP,VTSP,2340,:,0000,119
585,17-04-2025,A20N,VTCIG,AIC379,VTSP,VIDP,0308,0330,:,119
586,17-04-2025,A20N,VTEXH,AIC384,VIDP,WMKK,1040,:,1100,119
587,17-04-2025,A20N,VTCIF,AIC385,WMKK,VIDP,0130,0152,:,119
588,17-04-2025,A20N,VTCIM,AIC388,VIDP,VVTS,1025,1051,1120,119
589,17-04-2025,A20N,VTCIM,AIC389,VVTS,VIDP,1540,1609,1636,119
590,18-04-2025,B77L,VTAEG,AIC179,VABB,KSFO,1026,1100,1109,609
591,18-04-2025,A21N,VTTVG,AIC2115,VIDP,WSSS,0842,0904,0905,119
592,18-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1941,1948,2044,119
593,18-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0615,0637,0703,119
594,18-04-2025,A20N,VTRTS,AIC2303,VTBS,VIDP,1622,1650,1715,119
595,18-04-2025,A20N,VTRTS,AIC2304,VIDP,VTBS,1151,1217,1246,119
596,18-04-2025,A20N,VTRTT,AIC2332,VIDP,VTBS,0828,0853,0920,119
597,18-04-2025,A20N,VTRTT,AIC2333,VTBS,VIDP,0235,0304,0330,119
598,18-04-2025,A20N,VTRTT,AIC2335,VTBS,VIDP,1202,1231,1257,119
599,18-04-2025,A20N,VTRTT,AIC2336,VIDP,VTBS,2249,2316,2345,119
600,18-04-2025,A20N,VTEXP,AIC2353,VTBS,VABB,0834,0840,0929,119
601,18-04-2025,A20N,VTEXP,AIC2354,VABB,VTBS,0459,0547,0551,119
602,18-04-2025,A20N,VTEXG,AIC2355,VIDP,VTBS,0517,0542,0610,119
603,18-04-2025,A20N,VTEXG,AIC2356,VTBS,VIDP,0905,0935,1002,119
604,18-04-2025,B789,VTTSE,AIC2380,VIDP,WSSS,2013,2019,2112,457
605,18-04-2025,B789,VTTSN,AIC2381,WSSS,VIDP,0250,0342,0348,457
606,18-04-2025,A21N,VTTVF,AIC2382,VIDP,WSSS,1051,1113,:,119
607,18-04-2025,B788,VTANU,AIC301,YSSY,VIDP,1837,1843,1929,457
608,18-04-2025,B788,VTNAA,AIC302,VIDP,YSSY,2224,2230,2323,457
609,18-04-2025,B788,VTANV,AIC308,VIDP,YMML,2243,2249,"B/F
2342","140,878
457"
610,18-04-2025,B788,VTANP,AIC309,YMML,VIDP,1925,1952,2017,457
611,18-04-2025,B788,VTANR,AIC312,VIDP,RKSI,2114,2144,2153,457
612,18-04-2025,B788,VTANV,AIC313,RKSI,VIDP,0755,0804,0834,457
613,18-04-2025,B788,VTANQ,AIC314,VIDP,VHHH,1910,1945,1955,457
614,18-04-2025,B788,VTANQ,AIC315,VHHH,VIDP,0451,0500,0530,457
615,18-04-2025,A20N,VTEXO,AIC337,VABB,VTBS,1054,1117,1146,119
616,18-04-2025,A20N,VTEXO,AIC338,VTBS,VABB,1424,1430,1519,119
617,18-04-2025,B788,VTNAC,AIC357,RJTT,VIDP,0837,0846,0920,457
618,18-04-2025,A20N,VTCIG,AIC376,VIDP,VTSP,1139,1201,:,119
619,18-04-2025,A20N,VTCIG,AIC377,VTSP,VIDP,1415,1437,:,119
620,18-04-2025,A20N,VTCIG,AIC378,VIDP,VTSP,2348,0010,:,119
621,18-04-2025,A20N,VTEXT,AIC379,VTSP,VIDP,0259,0321,0348,119
622,18-04-2025,A20N,VTEXI,AIC384,VIDP,WMKK,1037,1059,:,119
623,18-04-2025,A20N,VTEXH,AIC385,WMKK,VIDP,0131,0153,0220,119
624,18-04-2025,A20N,VTEXH,AIC388,VIDP,VVTS,1007,1033,1102,119
625,18-04-2025,A20N,VTEXH,AIC389,VVTS,VIDP,1804,1833,1900,119
626,19-04-2025,B77L,VTAEI,AIC173,VIDP,KSFO,0017,0046,0055,609
627,19-04-2025,B77L,VTAEH,AIC179,VABB,KSFO,1033,1107,1116,609
628,19-04-2025,A21N,VTTVB,AIC2106,WSSS,VABB,0418,0514,0519,119
629,19-04-2025,A21N,VTTVE,AIC2115,VIDP,WSSS,0914,0914,0936,119
630,19-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1848,1855,1951,119
631,19-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0634,0634,0656,119
632,19-04-2025,A20N,VTRTT,AIC2303,VTBS,VIDP,1610,1639,1706,119
633,19-04-2025,A20N,VTRTT,AIC2304,VIDP,VTBS,1124,1149,1216,119
634,19-04-2025,A20N,VTRTS,AIC2332,VIDP,VTBS,0814,0841,0911,119
635,19-04-2025,A20N,VTRTT,AIC2333,VTBS,VIDP,0234,0303,0330,119
636,19-04-2025,A20N,VTRTS,AIC2335,VTBS,VIDP,1138,1207,1234,119
637,19-04-2025,A20N,VTRTS,AIC2336,VIDP,VTBS,2255,2322,2351,119
638,19-04-2025,A20N,VTRTU,AIC2353,VTBS,VABB,0819,0825,0914,119
639,19-04-2025,A20N,VTRTU,AIC2354,VABB,VTBS,0451,0456,0549,119
640,19-04-2025,A20N,VTEXG,AIC2355,VIDP,VTBS,0525,0552,0622,119
"No.
(1)","Date
(2)","Type
(3)","Registration
(4)","CallSign
(5)","From
(6)","To
(7)",Entry pt. (8),Over Head pt. (9),Exit pt. (10),"Air Nav. Fac Charges
(11)"
641,19-04-2025,A20N,VTEXG,AIC2356,VTBS,VIDP,0911,0940,"B/F
1007","148,032
119"
642,19-04-2025,B789,VTTSD,AIC2380,VIDP,WSSS,2018,2024,2117,457
643,19-04-2025,B789,VTTSE,AIC2381,WSSS,VIDP,0257,0350,0356,457
644,19-04-2025,A21N,VTTVG,AIC2382,VIDP,WSSS,1043,1105,:,119
645,19-04-2025,B788,VTNAA,AIC301,YSSY,VIDP,1904,1923,2002,457
646,19-04-2025,B788,VTANY,AIC302,VIDP,YSSY,2236,2242,2335,457
647,19-04-2025,B788,VTANA,AIC308,VIDP,YMML,2327,2333,0026,457
648,19-04-2025,B788,VTANR,AIC312,VIDP,RKSI,2124,2154,2203,457
649,19-04-2025,B788,VTANR,AIC313,RKSI,VIDP,0800,0809,0839,457
650,19-04-2025,B788,VTANE,AIC314,VIDP,VHHH,1910,1945,1955,457
651,19-04-2025,B788,VTANQ,AIC315,VHHH,VIDP,0450,0459,0528,457
652,19-04-2025,A20N,VTEXO,AIC337,VABB,VTBS,1112,1135,1204,119
653,19-04-2025,A20N,VTEXO,AIC338,VTBS,VABB,1424,1430,1519,119
654,19-04-2025,B788,VTANO,AIC358,VIDP,RJTT,1704,1734,1743,457
655,19-04-2025,A20N,VTCIF,AIC376,VIDP,VTSP,1035,1057,:,119
656,19-04-2025,A20N,VTCIF,AIC377,VTSP,VIDP,1341,1403,1430,119
657,19-04-2025,A20N,VTEXU,AIC378,VIDP,VTSP,2343,2350,0046,119
658,19-04-2025,A20N,VTCIG,AIC379,VTSP,VIDP,0304,0324,:,119
659,19-04-2025,A20N,VTEXI,AIC384,VIDP,WMKK,1038,1100,:,119
660,19-04-2025,A20N,VTEXI,AIC385,WMKK,VIDP,0124,0124,0146,119
661,19-04-2025,A20N,VTEXK,AIC388,VIDP,VVTS,1002,1028,1057,119
662,19-04-2025,A20N,VTEXK,AIC389,VVTS,VIDP,1527,1556,1623,119
663,20-04-2025,B77L,VTAEE,AIC173,VIDP,KSFO,0050,0120,0129,609
664,20-04-2025,B77L,VTAEG,AIC175,VOBL,KSFO,1137,1212,1221,609
665,20-04-2025,A21N,VTTVD-,AIC2110,WSSS,VAPO,0552,0617,0646,119
666,20-04-2025,A21N,VTTVG,AIC2115,VIDP,WSSS,0811,0833,:,119
667,20-04-2025,A21N,VTTVG,AIC2116,WSSS,VIDP,1434,1434,1456,119
668,20-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1852,1859,1955,119
669,20-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0626,0648,0714,119
670,20-04-2025,A20N,VTRTS,AIC2303,VTBS,VIDP,1612,1641,1708,119
671,20-04-2025,A20N,VTRTS,AIC2304,VIDP,VTBS,1137,1204,1233,119
672,20-04-2025,A20N,VTRTY,AIC2332,VIDP,VTBS,0846,0934,0957,119
673,20-04-2025,A20N,VTRTS,AIC2333,VTBS,VIDP,0218,0247,"B/F
0314","156,200
119"
674,20-04-2025,A20N,VTRTY,AIC2335,VTBS,VIDP,1205,1234,1301,119
675,20-04-2025,A20N,VTRTM,AIC2336,VIDP,VTBS,2234,2300,2329,119
676,20-04-2025,A20N,VTEXP,AIC2353,VTBS,VABB,0814,0820,0909,119
677,20-04-2025,A20N,VTEXP,AIC2354,VABB,VTBS,0459,0547,0553,119
678,20-04-2025,A20N,VTRTU,AIC2355,VIDP,VTBS,0520,0547,0617,119
679,20-04-2025,A20N,VTRTU,AIC2356,VTBS,VIDP,0859,0928,0955,119
680,20-04-2025,B789,VTTSH,AIC2380,VIDP,WSSS,2057,2131,2157,457
681,20-04-2025,B789,VTTSD,AIC2381,WSSS,VIDP,0244,0336,0342,457
682,20-04-2025,A21N,VTTVC,AIC2382,VIDP,WSSS,1046,1046,1108,119
683,20-04-2025,A21N,VTTVC,AIC2383,WSSS,VIDP,1653,1653,1715,119
684,20-04-2025,B788,VTANY,AIC301,YSSY,VIDP,1854,1900,1946,457
685,20-04-2025,B788,VTANR,AIC302,VIDP,YSSY,2214,2247,2313,457
686,20-04-2025,B788,VTANO,AIC308,VIDP,YMML,2218,2252,2318,457
687,20-04-2025,B788,VTANR,AIC313,RKSI,VIDP,0805,0814,0844,457
688,20-04-2025,B788,VTANC,AIC314,VIDP,VHHH,1901,1951,2005,457
689,20-04-2025,B788,VTANE,AIC315,VHHH,VIDP,0445,0454,0524,457
690,20-04-2025,A20N,VTEXO,AIC337,VABB,VTBS,1109,1132,1201,119
691,20-04-2025,A20N,VTEXO,AIC338,VTBS,VABB,1424,1430,1519,119
692,20-04-2025,B788,VTANO,AIC357,RJTT,VIDP,0904,0913,0947,457
693,20-04-2025,A20N,VTEXI,AIC376,VIDP,VTSP,1046,1046,1108,119
694,20-04-2025,A20N,VTEXI,AIC377,VTSP,VIDP,1356,1356,1418,119
695,20-04-2025,A20N,VTEXU,AIC379,VTSP,VIDP,0315,0337,0403,119
696,20-04-2025,A20N,VTEXK,AIC384,VIDP,WMKK,1038,1038,1100,119
697,20-04-2025,A20N,VTEXI,AIC385,WMKK,VIDP,0128,0150,0216,119
698,20-04-2025,A20N,VTCIM,AIC388,VIDP,VVTS,0953,1019,1048,119
699,20-04-2025,A20N,VTCIM,AIC389,VVTS,VIDP,1517,1546,1613,119
700,21-04-2025,B77L,VTAEF,AIC173,VIDP,KSFO,0025,0054,0103,609
701,21-04-2025,A21N,VTTVE,AIC2115,VIDP,WSSS,0903,0925,:,119
702,21-04-2025,A21N,VTTVE,AIC2116,WSSS,VIDP,1443,1538,1545,119
703,21-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1913,1920,2016,119
704,21-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0600,:,0620,119
705,21-04-2025,A20N,VTRTT,AIC2303,VTBS,VIDP,1617,1646,"B/F
1713","163,540
119"
706,21-04-2025,A20N,VTRTT,AIC2304,VIDP,VTBS,1133,1159,1228,119
707,21-04-2025,A20N,VTEXG,AIC2332,VIDP,VTBS,0810,0835,0903,119
708,21-04-2025,A20N,VTRTM,AIC2333,VTBS,VIDP,0226,0256,0323,119
709,21-04-2025,A20N,VTEXG,AIC2335,VTBS,VIDP,1126,1155,1222,119
710,21-04-2025,A20N,VTEXG,AIC2336,VIDP,VTBS,2236,2303,2333,119
711,21-04-2025,A20N,VTEXP,AIC2353,VTBS,VABB,0848,0854,0943,119
712,21-04-2025,A20N,VTEXP,AIC2354,VABB,VTBS,0516,0605,0609,119
713,21-04-2025,A20N,VTRTU,AIC2355,VIDP,VTBS,0525,0606,0626,119
714,21-04-2025,A20N,VTRTU,AIC2356,VTBS,VIDP,0912,0941,1007,119
715,21-04-2025,B789,VTTSO,AIC2380,VIDP,WSSS,2022,2028,2121,457
716,21-04-2025,B789,VTTSH,AIC2381,WSSS,VIDP,0250,0342,0348,457
717,21-04-2025,A21N,VTTVG,AIC2382,VIDP,WSSS,1017,1024,1121,119
718,21-04-2025,A21N,VTTVG,AIC2383,WSSS,VIDP,1649,1711,1737,119
719,21-04-2025,B788,VTANZ,AIC302,VIDP,YSSY,2205,2230,2257,457
720,21-04-2025,B788,VTANM,AIC308,VIDP,YMML,2232,2257,2324,457
721,21-04-2025,B788,VTANU,AIC312,VIDP,RKSI,2111,2141,2150,457
722,21-04-2025,B788,VTANB,AIC314,VIDP,VHHH,1902,1952,2006,457
723,21-04-2025,B788,VTANC,AIC315,VHHH,VIDP,0445,0454,0524,457
724,21-04-2025,A20N,VTCIH,AIC337,VABB,VTBS,1112,1135,1205,119
725,21-04-2025,A20N,VTCIH,AIC338,VTBS,VABB,1415,1421,1510,119
726,21-04-2025,B788,VTANA,AIC358,VIDP,RJTT,1800,1830,1839,457
727,21-04-2025,A20N,VTCIF,AIC376,VIDP,VTSP,1056,:,1116,119
728,21-04-2025,A20N,VTCIF,AIC377,VTSP,VIDP,1355,1417,1444,119
729,21-04-2025,A20N,VTEXH,AIC378,VIDP,VTSP,0006,0006,0028,119
730,21-04-2025,A20N,VTEXI,AIC378,VIDP,VTSP,2304,2311,0007,119
731,21-04-2025,A20N,VTEXH,AIC379,VTSP,VIDP,0250,0312,:,119
732,21-04-2025,A20N,VTCID,AIC384,VIDP,WMKK,1050,:,1110,119
733,21-04-2025,A20N,VTEXK,AIC385,WMKK,VIDP,0129,0151,:,119
734,21-04-2025,A20N,VTEXK,AIC388,VIDP,VVTS,0951,1017,1046,119
735,21-04-2025,A20N,VTEXK,AIC389,VVTS,VIDP,1542,1609,1638,119
736,22-04-2025,B77L,VTAEG,AIC179,VABB,KSFO,1011,1045,1053,609
737,22-04-2025,A21N,VTTVD,AIC2111,VAPO,WSSS,2343,0032,"B/F
0038","170,542
119"
738,22-04-2025,A21N,VTTVE,AIC2115,VIDP,WSSS,0858,0920,:,119
739,22-04-2025,A21N,VTTVE,AIC2116,WSSS,VIDP,1433,1455,:,119
740,22-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1855,1902,1958,119
741,22-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0627,0649,0715,119
742,22-04-2025,A20N,VTRTU,AIC2303,VTBS,VIDP,1617,1646,1713,119
743,22-04-2025,A20N,VTRTU,AIC2304,VIDP,VTBS,1231,1257,1326,119
744,22-04-2025,A20N,VTEXP,AIC2332,VIDP,VTBS,0847,0914,0943,119
745,22-04-2025,A20N,VTEXG,AIC2333,VTBS,VIDP,0213,0242,0309,119
746,22-04-2025,A20N,VTEXP,AIC2335,VTBS,VIDP,1214,1243,1310,119
747,22-04-2025,A20N,VTEXP,AIC2336,VIDP,VTBS,2250,2316,2345,119
748,22-04-2025,A20N,VTRTV,AIC2353,VTBS,VABB,0819,0825,0914,119
749,22-04-2025,A20N,VTRTV,AIC2354,VABB,VTBS,0508,0531,0600,119
750,22-04-2025,A21N,VTTVC,AIC2355,VIDP,VTBS,0525,0550,0618,119
751,22-04-2025,A21N,VTTVC,AIC2356,VTBS,VIDP,0858,0927,0954,119
752,22-04-2025,B789,VTTSN,AIC2380,VIDP,WSSS,2018,2024,2117,457
753,22-04-2025,B789,VTTSO,AIC2381,WSSS,VIDP,0325,0416,0441,457
754,22-04-2025,A21N,VTTVG,AIC2382,VIDP,WSSS,1059,1121,:,119
755,22-04-2025,B788,VTANZ,AIC301,YSSY,VIDP,1904,1925,:,457
756,22-04-2025,B788,VTNAA,AIC302,VIDP,YSSY,2203,2228,2318,457
757,22-04-2025,B788,VTANA,AIC308,VIDP,YMML,2301,2307,0000,457
758,22-04-2025,B788,VTANU,AIC313,RKSI,VIDP,0810,0819,0848,457
759,22-04-2025,B788,VTANE,AIC314,VIDP,VHHH,1853,1928,1938,457
760,22-04-2025,B788,VTANB,AIC315,VHHH,VIDP,0440,0449,0519,457
761,22-04-2025,B788,VTANA,AIC357,RJTT,VIDP,0911,0920,0950,457
762,22-04-2025,B788,VTANU,AIC358,VIDP,RJTT,1712,1742,1751,457
763,22-04-2025,A20N,VTCIM,AIC376,VIDP,VTSP,1058,1120,:,119
764,22-04-2025,A20N,VTCIM,AIC377,VTSP,VIDP,1405,1427,:,119
765,22-04-2025,A20N,VTEXM,AIC378,VIDP,VTSP,2339,0000,:,119
766,22-04-2025,A20N,VTEXI,AIC379,VTSP,VIDP,0303,0325,0352,119
767,22-04-2025,A20N,VTEXK,AIC384,VIDP,WMKK,1051,1113,:,119
768,22-04-2025,A20N,VTCID,AIC385,WMKK,VIDP,0125,0147,0213,119
769,22-04-2025,A20N,VTCIQ,AIC388,VIDP,VVTS,1028,1054,"B/F
1123","177,730
119"
770,22-04-2025,A20N,VTCIQ,AIC389,VVTS,VIDP,1529,1558,1625,119
771,23-04-2025,B77L,VTAEF,AIC173,VIDP,KSFO,0002,0031,0040,609
772,23-04-2025,B77L,VTAEE,AIC173,VIDP,KSFO,2342,0011,0019,609
773,23-04-2025,B77L,VTAEH,AIC175,VOBL,KSFO,1111,1145,1154,609
774,23-04-2025,A21N,VTTVD,AIC2110,WSSS,VAPO,0547,0644,0649,119
775,23-04-2025,A21N,VTTVE,AIC2115,VIDP,WSSS,0858,0858,0920,119
776,23-04-2025,A21N,VTTVE,AIC2116,WSSS,VIDP,1629,1651,1718,119
777,23-04-2025,A21N,VTTVH,AIC2145,VIDP,WADD,1915,1922,2018,119
778,23-04-2025,A21N,VTTVH,AIC2146,WADD,VIDP,0622,:,0642,119
779,23-04-2025,A20N,VTEXP,AIC2303,VTBS,VIDP,1604,1633,1700,119
780,23-04-2025,A20N,VTEXP,AIC2304,VIDP,VTBS,1124,1151,1220,119
781,23-04-2025,A20N,VTRTU,AIC2332,VIDP,VTBS,0818,0844,0913,119
782,23-04-2025,A20N,VTEXP,AIC2333,VTBS,VIDP,0231,0300,0327,119
783,23-04-2025,A20N,VTRTU,AIC2335,VTBS,VIDP,1141,1210,1237,119
784,23-04-2025,A20N,VTRTY,AIC2336,VIDP,VTBS,2250,2317,2346,119
785,23-04-2025,A20N,VTEXQ,AIC2353,VTBS,VABB,0836,0842,0931,119
786,23-04-2025,A20N,VTEXQ,AIC2354,VABB,VTBS,0502,0525,0554,119
787,23-04-2025,A20N,VTRTT,AIC2355,VIDP,VTBS,0517,0544,0614,119
788,23-04-2025,A20N,VTRTT,AIC2356,VTBS,VIDP,0857,0927,0954,119
789,23-04-2025,B789,VTTSE,AIC2380,VIDP,WSSS,2030,2036,2129,457
790,23-04-2025,B789,VTTSN,AIC2381,WSSS,VIDP,0243,0304,0409,457
791,23-04-2025,A21N,VTTVG,AIC2382,VIDP,WSSS,1035,1057,:,119
792,23-04-2025,A21N,VTTVG,AIC2383,WSSS,VIDP,1639,1735,1742,119
793,23-04-2025,B788,VTANZ,AIC302,VIDP,YSSY,2156,2202,2255,457
794,23-04-2025,B788,VTANE,AIC308,VIDP,YMML,2239,2245,2337,457
795,23-04-2025,B788,VTANL,AIC312,VIDP,RKSI,2108,2138,2147,457
796,23-04-2025,B788,VTANU,AIC314,VIDP,VHHH,1909,1944,1954,457
797,23-04-2025,B788,VTANE,AIC315,VHHH,VIDP,0440,0449,0523,457
798,23-04-2025,A20N,VTEXV,AIC337,VABB,VTBS,1116,1138,1206,119
799,23-04-2025,A20N,VTEXV,AIC338,VTBS,VABB,1431,1437,1526,119
800,23-04-2025,B788,VTANU,AIC357,RJTT,VIDP,0939,0948,1022,457
801,23-04-2025,A20N,VTCIM,AIC376,VIDP,VTSP,1108,1130,"B/F
:","185,712
119"
802,23-04-2025,A20N,VTCIM,AIC377,VTSP,VIDP,1355,1417,1444,119
803,23-04-2025,A20N,VTCIM,AIC378,VIDP,VTSP,2313,2319,0011,119
804,23-04-2025,A20N,VTEXM,AIC379,VTSP,VIDP,0315,0337,:,119
805,23-04-2025,A20N,VTEXI,AIC384,VIDP,WMKK,1052,1114,:,119
806,23-04-2025,A20N,VTCIE,AIC388,VIDP,VVTS,1001,1042,1102,119
