UTC_DATE,FLIGHT_ID,AC_IDENT,MTOW,WEIGHT FACTOR,BILLDIST,AMOUNT,TOTAL,CALCULATED_CHARGE,VERIFICATION_STATUS
29-10-2025,AIC101,VTJRA,280.0,16.73320053,1315,775.43,775.43,775.43,Matched
29-10-2025,AIC102,VTJRA,280.0,16.73320053,1435,846.19,846.19,846.19,Matched
29-10-2025,AIC116,VTAER,351.5,18.74833326,1435,948.09,948.09,948.09,Matched
29-10-2025,AIC119,VTAER,351.5,18.74833326,1683,1111.94,1111.94,1111.94,Matched
29-10-2025,AIC126,VTALR,351.5,18.74833326,2324,1535.45,1535.45,1535.45,Matched
29-10-2025,AIC127,VTALR,351.5,18.74833326,2098,1386.13,1386.13,1386.13,Matched
29-10-2025,AIC144,VTALU,351.5,18.74833326,1380,911.75,911.75,911.75,Matched
30-10-2025,AIC174,VTAEH,347.5,18.64135188,824,541.3,541.3,541.3,Matched
29-10-2025,AIC176,VTALP,351.5,18.74833326,2704,1786.51,1786.51,1786.51,Matched
29-10-2025,AIC191,VTALU,351.5,18.74833326,1683,1111.94,1111.94,1111.94,Matched
30-10-2025,AIC101,VTJRH,280.0,16.73320053,1702,1003.63,1003.63,1003.63,Matched
30-10-2025,AIC102,VTJRH,280.0,16.73320053,1441,849.73,849.73,849.73,Matched
30-10-2025,AIC105,VTJRF,280.0,16.73320053,1708,1007.17,1007.17,1007.17,Matched
30-10-2025,AIC106,VTJRF,280.0,16.73320053,1393,821.42,821.42,821.42,Matched
30-10-2025,AIC107,VTAEF,347.5,18.64135188,2169,1424.86,1424.86,1424.86,Matched
30-10-2025,AIC116,VTAEN,351.5,18.74833326,1317,870.13,870.13,870.13,Matched
30-10-2025,AIC119,VTAEN,351.5,18.74833326,1302,860.22,860.22,860.22,Matched
31-10-2025,AIC174,VTALO,351.5,18.74833326,819,541.11,541.11,541.11,Matched
30-10-2025,AIC180,VTALN,351.5,18.74833326,824,544.41,544.41,544.41,Matched
31-10-2025,AIC191,VTAEQ,351.5,18.74833326,1348,890.61,890.61,890.61,Matched
31-10-2025,AIC101,VTJRI,280.0,16.73320053,1676,988.3,988.3,988.3,Matched
31-10-2025,AIC102,VTJRI,280.0,16.73320053,1293,762.45,762.45,762.45,Matched
31-10-2025,AIC144,VTAEQ,351.5,18.74833326,1380,911.75,911.75,911.75,Matched
01-11-2025,AIC174,VTAEH,347.5,18.64135188,819,538.02,538.02,538.02,Matched
31-10-2025,AIC180,VTALP,351.5,18.74833326,819,541.11,541.11,541.11,Matched
