Invoice Number,No,Date,Ident,Airc Type,Reg,From-to,Routing,Dist.,tonn,Amount
4AIC-453,45,02-Apr-25,AIC162,A359,VTJRA,BODKA-ARBAT-MARAD-RANAH,EGLL-VIDP,1143,280,960.12
4AIC-453,46,02-Apr-25,AIC169,B788,VTNAC,LEMOD-NINOP-ARBAT-BODKA,VIAR-EGKK,1203,220,1010.52
4AIC-453,47,02-Apr-25,AIC170,B788,VTNAC,LARGI-KESEK-NINOP-LEMOD,EGKK-VIAR,1221,220,1025.64
4AIC-453,48,02-Apr-25,AIC2016,B789,VTTSE,BODKA-ARBAT-NINOP-LEMOD,EGLL-VIDP,1203,250,1010.52
4AIC-453,49,02-Apr-25,AIC2017,B789,VTTSP,LEMOD-NINOP-ARBAT-BODKA,VIDP-EGLL,1203,247,1010.52
4AIC-453,50,02-Apr-25,AIC2018,B789,VTTSP,LARGI-KESEK-MARAD-RANAH,EGLL-VIDP,1161,247,975.24
4AIC-453,51,02-Apr-25,AIC2025,B789,VTTSD,LEMOD-NINOP-ARBAT-BODKA,VIDP-EDDF,1203,250,1010.52
4AIC-453,52,45749,AIC2026,B789,VTTSD,LARGI-KESEK-MARAD-RANAH,EDDF-VIDP,1161,250,975.24
4AIC-453,53,45749,AIC2029,B789,VTTSN,LEMOD-NINOP-ARBAT-BODKA,VIDP-EDDF,1203,247,1010.52
4AIC-453,54,45749,AIC2030,B789,VTTSN,LARGI-KESEK-NINOP-LEMOD,EDDF-VIDP,1221,247,1025.64
4AIC-453,55,45749,AUV141,A320,UK32080,MANAT-NINOP-NAZAR,UTTT-OEMA,433,77,324.75
4AIC-453,56,45749,AUV142,A320,UK32080,NAZAR-NINOP-MANAT,OEMA-UTTT,433,77,324.75
4AIC-453,57,45750,AIC111,A359,VTJRE,LEMOD-NINOP-ARBAT-BODKA,VIDP-EGLL,1203,280,1010.52
4AIC-453,58,45750,AIC112,A359,VTJRE,LARGI-KESEK-NINOP-LEMOD,EGLL-VIDP,1221,280,1025.64
4AIC-453,59,45750,AIC1137,B773,VTAEP,GONAK-DUTAR-NONIK-RODAR,VIDP-LTBA,1354,345,1218.6
4AIC-453,60,45750,AIC117,B788,VTANB,LEMOD-NINOP-ARBAT-BODKA,VIAR-EGBB,1203,220,1010.52
4AIC-453,61,45750,AIC118,B788,VTANB,RODAR-SAPAR-NINOP-LEMOD,EGBB-VIAR,1232,220,1034.88
4AIC-453,62,45750,AIC119,B773,VTALX,SOMAD-KERUL,VABB-KJFK,532,345,478.8
4AIC-453,63,45750,AIC137,B788,VTANO,LEMOD-NINOP-SAHET-DUKAN,VIDP-LIMC,1212,220,1018.08
4AIC-453,64,45750,AIC138,B788,VTANO,BODKA-ARBAT-NINOP-LEMOD,LIMC-VIDP,1203,220,1010.52
4AIC-453,65,45750,AIC142,B788,VTANR,LARGI-KESEK-NINOP-LEMOD,LFPG-VIDP,1221,220,1025.64
4AIC-453,66,45750,AIC143,B788,VTANR,LEMOD-NINOP-SAHET-DUKAN,VIDP-LFPG,1212,220,1018.08
4AIC-453,67,45750,AIC147,B789,VTTSH,LEMOD-NINOP-SAPAR-RODAR,VIDP-LFPG,1232,247,1034.88
4AIC-453,68,45750,AIC148,B789,VTTSH,BODKA-ARBAT-NINOP-LEMOD,LFPG-VIDP,1203,247,1010.52
4AIC-453,69,45750,AIC153,B788,VTANP,LEMOD-NINOP-ARBAT-BODKA,VIDP-LOWW,1203,220,1010.52
4AIC-453,70,45750,AIC154,B788,VTANP,LARGI-KESEK-MARAD-RANAH,LOWW-VIDP,1161,220,975.24
4AIC-453,71,45750,AIC155,B788,VTANZ,LEMOD-NINOP-SAHET-DUKAN,VIDP-EHAM,1212,220,1018.08
4AIC-453,72,45750,AIC156,B788,VTANZ,LARGI-KESEK-NINOP-LEMOD,EHAM-VIDP,1221,220,1025.64
4AIC-453,73,45750,AIC161,A359,VTJRB,LEMOD-NINOP-SAHET-DUKAN,VIDP-EGLL,1212,280,1018.08
