Aircraft ,MTOW_in_KGs,Aircraft_Type,
VTTQU,73500,A319,
VTTQV,73500,A319,
VTTQW,73500,A319,
VTTQX,73500,A319,
VTTSD,247207,A319,
VTTSE,247207,A319,
VTTSH,247207,A319,
VTTSN,247207,A319,
VTTSO,247207,A319,
VTTSP,247207,A319,
VTTSQ,252650,A319,
VTTVA,93500,A319,
VTTVB,93500,A319,
VTTVC,93500,A319,
VTTVD,93500,A319,
VTTVE,93500,A319,
VTTVF,93500,A319,
VTTVG,97000,A319,
VTTVH,97000,A319,
VTTVI,97000,A319,
VTTVJ,97000,A319,
VTTYA,73500,A319,
VTTYB,73500,A319,
VTTYC,73500,A319,
VTTYD,73500,A319,
VTTYE,73500,A319,
VTTYF,73500,A319,
VTTYG,73500,A319,
VTSCK,NULL,NULL,
