Flight_DateTime,Flight_No,Aircraft_Reg,Aircraft_Type,MTOW_Tonnes,MTOW_kg,Distance_km,Distance_Factor,Unit_Rate,Weight_Factor,Calculated_Charge,Vendor_Charge,Status
"2025-09-01
07:36",AIC1 02,VTJRE,A359,280.0,280000.0,779.0,7.79,31.34,1.8,439.45,439.45,Matched
"2025-09-01
07:44","AIC9
22",VTRTT,A20N,79.0,79000.0,797.0,7.97,31.34,1.22,304.73,304.73,Matched
"2025-09-01
08:39","AIC1
88",VTALJ,B77W,352.0,352000.0,779.0,7.79,31.34,1.95,476.07,476.07,Matched
"2025-09-01
08:45","AIC1
29",VTAEN,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-01
09:56",AIC1 11,VTTSE,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-01
10:39",AIC1 26,VTALN,B77W,352.0,352000.0,453.0,4.53,31.34,1.95,276.84,276.84,Matched
"2025-09-01
11:02","AIC2
208",VTTSN,B789,255.0,255000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
"2025-09-01
11:09","AIC9
10",VTANP,B788,228.0,228000.0,747.0,7.47,31.34,1.71,400.33,400.33,Matched
"2025-09-01
12:53",AIC9 18,VTANY,B788,228.0,228000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
"2025-09-01
14:38","AIC9
34",VTEXP,A20N,77.0,77000.0,659.0,6.59,31.34,1.22,251.97,251.97,Matched
"2025-09-01
15:01",AIC2 027,VTANI,B788,228.0,228000.0,726.0,7.26,31.34,1.71,389.07,389.07,Matched
"2025-09-01
16:18",AIC1 55,VTALP,B77W,352.0,352000.0,774.0,7.74,31.34,1.95,473.01,473.01,Matched
"2025-09-01
16:21","AIC9
91",VTEXM,A20N,77.0,77000.0,878.0,8.78,31.34,1.22,335.7,335.7,Matched
"2025-09-01
16:23",AIC9 05,VTTQF,A20N,77.0,77000.0,698.0,6.98,31.34,1.22,266.88,266.88,Matched
"2025-09-01
16:37",AIC9 69,VTPPO,A321,89.0,89000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-01
16:49",AIC1 43,VTANR,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-01
17:09","AIC1
51",VTANZ,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-01
17:29","AIC2
017",VTTSH,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-01
17:33",AIC2 289,VTEXJ,A20N,77.0,77000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-01
17:39","AIC9
31",VTCIQ,A20N,79.0,79000.0,806.0,8.06,31.34,1.22,308.17,308.17,Matched
"2025-09-01
17:43",AIC2 029,VTTSP,B789,255.0,255000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
,,,,,,,,,,,,Not Matched
,,,,,,,,,,,,Not Matched
Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,,,,,,,,,Not Matched
"2025-09-01
17:50",AIC1 62,VTJRH,A359,280.0,280000.0,779.0,7.79,31.34,1.8,439.45,439.45,Matched
"2025-09-01
17:52",AIC2 283,VTEXS,A20N,77.0,77000.0,774.0,7.74,31.34,1.22,295.94,295.94,Matched
"2025-09-01
17:54","AIC9
20",VTTNY,A20N,77.0,77000.0,747.0,7.47,31.34,1.22,285.61,285.61,Matched
"2025-09-01
17:55","AIC1
31",VTAEQ,B77W,352.0,352000.0,726.0,7.26,31.34,1.95,443.68,443.68,Matched
"2025-09-01
17:57","AIC1
57",VTANU,B788,228.0,228000.0,774.0,7.74,31.34,1.71,414.8,414.8,Matched
"2025-09-01
18:19",AIC2 202,VTTVC,A21N,89.0,89000.0,747.0,7.47,31.34,1.22,285.61,285.61,Matched
"2025-09-01
18:26",AIC2 209,VTTSO,B789,255.0,255000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-01
18:36","AIC9
35",VTTQI,A20N,77.0,77000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-01
18:56","AIC1
33",VTNAC,B788,228.0,228000.0,692.0,6.92,31.34,1.71,370.85,370.85,Matched
"2025-09-01
20:41",AIC9 16,VTANV,B788,228.0,228000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
"2025-09-01
20:42","AIC1
28",VTAEN,B77W,352.0,352000.0,732.0,7.32,31.34,1.95,447.35,447.35,Matched
"2025-09-01
21:55",AIC9 70,VTPPO,A321,89.0,89000.0,732.0,7.32,31.34,1.22,279.88,279.88,Matched
"2025-09-01
22:36",AIC2 290,VTEXJ,A20N,77.0,77000.0,732.0,7.32,31.34,1.22,279.88,279.88,Matched
"2025-09-01
22:37","AIC2
287",VTTNW,A20N,77.0,77000.0,726.0,7.26,31.34,1.22,277.58,277.58,Matched
"2025-09-01
22:47",AIC9 84,VTANP,B788,228.0,228000.0,747.0,7.47,31.34,1.71,400.33,400.33,Matched
"2025-09-01
22:52",AIC1 12,VTTSE,B789,255.0,255000.0,779.0,7.79,31.34,1.71,417.48,417.48,Matched
"2025-09-01
23:20",AIC9 92,VTEXM,A20N,77.0,77000.0,875.0,8.75,31.34,1.22,334.55,334.55,Matched
"2025-09-01
23:21","AIC2
204",VTTNQ,A20N,77.0,77000.0,754.0,7.54,31.34,1.22,288.29,288.29,Matched
"2025-09-01
23:26","AIC9
46",VTRTT,A20N,79.0,79000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
"2025-09-01
23:32",AIC9 06,VTTQF,A20N,77.0,77000.0,754.0,7.54,31.34,1.22,288.29,288.29,Matched
"2025-09-01
23:40","AIC2
284",VTEXS,A20N,77.0,77000.0,779.0,7.79,31.34,1.22,297.85,297.85,Matched
"2025-09-01
23:51",AIC2 210,VTTSO,B789,255.0,255000.0,799.0,7.99,31.34,1.71,428.2,428.2,Matched
,,,,,,,,,,,,Not Matched
,,,,,,,,,,,,Not Matched
Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,,,,,,,,,Not Matched
"2025-09-01
23:59",AIC9 36,VTTQI,A20N,77.0,77000.0,785.0,7.85,31.34,1.22,300.14,300.14,Matched
"2025-09-02
00:00",AIC9 17,VTTVE,A21N,89.0,89000.0,781.0,7.81,31.34,1.22,298.61,298.61,Matched
"2025-09-02
00:00","AIC1
27",VTAEF,B77L,348.0,348000.0,453.0,4.53,31.34,1.95,276.84,276.84,Matched
"2025-09-02
00:00","AIC9
19",VTTQI,A20N,77.0,77000.0,731.0,7.31,31.34,1.22,279.5,279.5,Matched
"2025-09-02
00:00","AIC2
203",VTTNV,A20N,77.0,77000.0,731.0,7.31,31.34,1.22,279.5,279.5,Matched
"2025-09-02
00:00",AIC9 95,VTANL,B788,228.0,228000.0,781.0,7.81,31.34,1.71,418.55,418.55,Matched
"2025-09-02
00:00",AIC1 01,VTJRE,A359,280.0,280000.0,774.0,7.74,31.34,1.8,436.63,436.63,Matched
